id cx cy cz
790 0.199863 0.855646 0
791 0.6 0.509252 0
792 0.349988 0.249452 0
793 0.374866 0.20619 0
794 0.87347 0.668109 0
795 0.324858 0.206327 0
796 0.77496 0.46593 0
797 0.34977 0.191916 0
798 0.349002 0.163531 0
799 0.575 0.465951 0
800 0.699995 0.884529 0
801 0.724997 0.494817 0
802 0.575 0.927831 0
803 0.724996 0.465949 0
804 0.825284 0.40836 0
805 0.824758 0.49469 0
806 0.299997 0.942264 0
807 0.55 0.855662 0
808 0.699998 0.971133 0
809 0.6 0.942265 0
810 0.65 0.451517 0
811 0.55 0.88453 0
812 0.799987 0.451509 0
813 0.625 0.465951 0
814 0.625 0.927831 0
815 0.649999 0.884529 0
816 0.749974 0.509239 0
817 0.6 0.42265 0
818 0.675 0.465951 0
819 0.649999 0.942265 0
820 0.850289 0.422794 0
821 0.624999 0.898963 0
822 0.799967 0.971151 0
823 0.6 0.451517 0
